"--- Select object ---","--- Seleccionar objeto ---"
"Please enter this URL in the <strong>Allowed JavaScript Origins</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Control Panel</a> in your Amazon Seller Central.","Introduce esta dirección URL en el campo <strong>Orígenes de JavaScript permitidos</strong> del <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Panel de control</a> de tu cuenta de Seller Central."
"Please enter this URL in the <strong>Allowed Return URLs</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Control Panel</a> in your Amazon Seller Central.","Introduce esta dirección URL en el campo <strong>Direcciones URL de retorno permitidas</strong> del <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Panel de control</a> de tu cuenta Seller Central."
"Please enter this URL in the <strong>Merchant URL</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Integration Settings</a> in your Amazon Seller Central.","Por favor, introduce esta URL en el campo <strong>Merchant URL</strong> de <a target=""""_blank"""" href=""""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"""">Configuración de Integración</a> en tu cuenta de Seller Central."
"Please fill in required data that cannot be retrieved from your Amazon account.","Introduce la información necesaria que no se pueda extraer de tu cuenta de Amazon."
"Please note that the total amount of the order will be charged at order placement.","Por favor, tenga en cuenta que el importe total será cargardo una vez que el pedido esté listo para ser enviado"
"Please provide all required data.","Introduce toda la información necesaria."
"Pop-up","Ventana emergente"
"Preview","Vista previa"
"Query","Consulta"
"Quick-register Merchant account","Registro rápido de cuenta de vendedor"
"Redirect","Redireccionar"
"Redirecting, please wait...","Redirigiendo, espere por favor..."
"Request Body","Solicitar cuerpo"
"Request Headers","Solicitar encabezados"
"Response","Respuesta"
"Response code","Código de respuesta"
"Response headers","Encabezados de respuesta"
"Sandbox Mode","Modo Sandbox"
"Sandbox Toolbox","Herramientas de Sandbox"
"Secret Access Key","Clave de acceso secreta"
"Select appropriate store view scope to display IPN endpoint URL","Por favor, selecciona la vista de configuración de tienda apropiada para mostrar tu URL para IPNs"
"Select whether an email confirmation for newly placed orders shall be sent by the shop","Seleccionar para enviar un email de confirmación desde la tienda para pedidos nuevos"
"Seller Central configuration","Configuración de Seller Central"
"Send order confirmation","Enviar confirmación de pedido"
"Settings","Configuración"
"Show Sandbox Toolbox","Mostrar herramientas de Sandbox"
"Small","Pequeño"
"Spanish","Español"
"Stack trace","Stack trace"
"Store Options","Store Options"
"Store name","Store name"
"Stores","Tiendas"
"Synchronous","Síncrono"
"Tan","Tan"
"There has been a problem with the selected payment method from your Amazon account, please choose another payment method from you Amazon account or return to the cart to choose another checkout method.","Se ha producido un problema con el método de pago seleccionado en tu cuenta de Amazon. Selecciona otro método de pago o vuelve a la cesta para seleccionar otro método de finalización de la compra."
"There has been a problem with the selected payment method from your Amazon account, please update the payment method or choose another one.","Se ha producido un problema con el método de pago seleccionado en tu cuenta de Amazon. Actualiza el método de pago o selecciona otro."
"There was an error processing your order. Please contact us or try again later.","Se ha producido un error al procesar su pedido. Por favor, contáctenos o inténtelo de nuevo más tarde."
"This extension integrates easily your Magento shop with Amazon Pay service.","Esta extensión integra de manera sencilla tu tienda Magento con el Servicio de Amazon Pay"
"This feature requires valid SSL certificate to be installed on this server. Pay attention that the SSL certificate must be issued by a trusted Certificate Authority, self-signed certificates are not permitted.","Esta feature require que un certificado SSL esté instalado en el servidor. Asegúrate de que el certificado SSL sea expedido por una Certificate Authority de confianza. Los certificados autofirmados no están permitidos."
"This is not valid Seller Central configuration JSON","Esta configuración de Seller Central (JSON) no es válida"
"Total %d records found","Total %d entradas encontradas"
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"URL","URL"
"Use quick configuration option...","Usar opción de configuración rápida..."
"Use responsive widgets","Usar widgets responsivos"
"Use these credentials","Usar estas credenciales"
"Use these credentials and save","Usar estas credenciales y guardar"
"Use your Amazon Account","Utiliza tu cuenta de Amazon"
"Validate Amazon Payments account","Validar cuenta de Amazon Payments"
"View","Vista"
"Wallet widget height","Altura del widget de pagos"
"Wallet widget width","Anchura del widget de pagos"
"Whether to show a toolbox in the checkout for simulating different payment scenarios.","Mostrar herramientas de test en el checkout para simular diferentes escenarios de pago."
"Whoops! Your Access Key ID seems to be invalid.","¡Vaya! Parece que tu ID de clave de acceso no es válido."
"Whoops! Your Merchant ID seems to be invalid.","¡Vaya! Parece que tu ID de vendedor no es válido."
"Whoops! Your Secret Access Key seems to be invalid.","¡Vaya! Parece que tu ID de clave de acceso secreta no es válido."
"With Amazon Pay, you can use the shipping and payment information stored in your Amazon account to place an order on this website. It's a convenient and trusted way to pay that's enjoyed by millions of people.","Con Amazon Pay podrás utilizar la información de envío y pago almacenada en tu cuenta de Amazon para realizar pedidos en la página web. Supone una forma de pago conveniente y fiable que ya disfrutan millones de compradores."
"X-Large","Muy grande"
"You have aborted the login with Amazon. Please contact us or try again.","Has cancelado el inicio de sesión con Amazon. Ponte en contacto con nosotros o inténtalo de nuevo."
"Your language","Tu idioma"
