"--- Select object ---","--- Seleziona oggetto ---"
"Amazon Pay and Login with Amazon","Amazon Pay e Accedi con Amazon"
"Amazon Pay and Login with Amazon settings","Impostazioni Amazon Pay e Accedi con Amazon"
"Amazon Pay API Call","Chiamata API Amazon Pay"
"Amazon Pay API Calls","Chiamate API Amazon Pay"
"Amazon Pay Exception","Eccezione Amazon Pay"
"Amazon Pay Exception | %s","Eccezione Amazon Pay | %s"
"Amazon Pay Exceptions","Eccezioni Amazon Pay"
"Amazon Payments Account","Conto Amazon Payments"
"Amazon Seller Central","Amazon Seller Central"
"An authorization of %s has been processed by Amazon Payments (%s). The new status is %s.","Un'autorizzazione di %s è stata elaborata da Amazon Payments (%s). Il nuovo stato è %s."
"An order of %s has been processed by Amazon Payments (%s). The new status is %s.","Un ordine di %s è stato elaborato da Amazon Payments (%s). Il nuovo stato è %s."
"API Call details","Dettagli chiamata API"
"Appearance Settings","Impostazioni dell'aspetto"
"Appearance Settings for Amazon Pay and Login with Amazon","Impostazioni dell'aspetto per Amazon Pay e Accedi con Amazon"
"Appearance Settings for standalone Amazon Pay","Impostazioni dell'aspetto per Amazon Pay"
"Asynchronous","Asincrono"
"Authentication Experience","Esperienza di autenticazione"
"Authorization Processing Mode","Modalità di elaborazione dell'autorizzazione"
"Authorize","Autorizza"
"Authorize & capture","Autorizza e acquisisci"
"Auto","Automatico"
"Back","Indietro"
"By selecting Login with Amazon, you will be asked to sign-in securely to your Amazon account without leaving the shop.","Selezionando Accedi con Amazon, ti verrà chiesto di accedere in modo sicuro al tuo account Amazon senza uscire dalla pagina del negozio."
"Choose your payment region and click to quick-register.","Scegli la tua regione per i pagamenti e clicca per la registrazione veloce."
"Client ID","ID cliente"
"Cancel","Annulla"
"Code","Codice"
"Common Appearance Settings","Impostazioni dell'aspetto comuni"
"Congratulations! Your Amazon Payments account settings seem to be OK.","Congratulazioni! Le impostazioni del tuo conto Amazon Payments sono corrette."
"Copy your keys from Seller Central (JSON) and paste them here","Copia le chiavi da Seller Central (JSON) e inseriscile qui"
"creativestyle Extensions","Estensioni creativestyle"
"Dark gray","Grigio scuro"
"Data polling frequency","Datenpollingfrequenz"
"Date","Data"
"Dear buyer, it looks like you already have an account in this shop. Please enter the password for your shop account here for once to make sure you are the authorized user of this account. We will not ask you for this anymore afterwards.","Cliente, sembra che lei abbia già un account in questo negozio. La invitiamo ad inserire la password del suo account cliente qui per assicurarsi di essere l'utente autorizzato di questo account. Questo non verra richiesto in futuro."
"Debug data","Dati di debug"
"Declined Payment Email Sender","Mittente e-mail pagamento rifiutato"
"Declined Payment Email Template","Modello e-mail pagamento rifiutato"
"Developer Options","Opzioni sviluppatori"
"Display Language","Lingua visualizzata"
"Don't have a merchant account yet? Register here","Non hai ancora un account venditore? Registrati qui"
"Download as CSV","Scarica come CSV"
"Each logfile will be rotated when it exceeds size of 8 Megabytes","Ogni file di log verrà ruotato quando supera le dimensioni di 8 Megabyte."
"Email Options","Opzioni e-mail"
"Enable Amazon Pay","Abilita Amazon Pay"
"Enable Instant Payment Notifications","Abilita Instant Payment Notifications"
"Enable logging","Abilita registrazione"
"Enable Login with Amazon","Abilita Accedi con Amazon"
"English","Inglese"
"Enter a value between 200 and 600 pixels. For one-column widget please enter width less than 400.","Inserisci un valore compreso tra 200 e 600 pixel. Per widget di una sola colonna, inserisci una larghezza inferiore a 400."
"Enter a value between 228 and 400 pixels","Inserisci un valore compreso tra 228 e 400 pixel"
"ERP mode","Modalità ERP"
"Eurozone","Area dell'Euro"
"Event Observers","Osservatori attività"
"Exception code","Codice eccezione"
"Exception details","Dettagli eccezione"
"Exception message","Messaggio eccezione"
"Extension documentation","Documentazione estensioni"
"Extracted XML message","Messaggio XML estratto"
"French","Francese"
"General Info","Informazioni generali"
"General Settings","Impostazioni generali"
"German","Tedesco"
"Germany","Germania"
"Gold","Oro"
"http://www.creativestyle.net","http://www.creativestyle.net"
"http://www.creativestyle.net/services/magento.html","http://www.creativestyle.de/leistungen/magento.html"
"In Sandbox Mode you can simulate certain states of selected payment objects.","In modalità sandbox puoi simulare determinati stati di oggetti di pagamento selezionati."
"Installed Magento extensions","Estensioni Magento installate"
"Installed PHP modules","Moduli PHP installati"
"Invalid password","Password non valida"
"IPN %s | %s","IPN %s | %s"
"IPN endpoint URL","URL endpoint IPN"
"IPN Notification","Notifica IPN"
"IPN Notifications","Notifiche IPN"
"Italian","Italiano"
"Large","Grande"
"Leave empty for access from any location","Lascia vuoto per consentire l'accesso da qualsiasi posizione"
"Light gray","Grigio chiaro"
"Login","Accesso"
"Login with Amazon","Accedi con Amazon"
"Magento Settings","Impostazioni Magento"
"Manual authorization","Autorizzazione manuale"
"Marketplace","Marktplatz"
"Medium","Medio"
"Merchant ID","Numero venditore"
"Message","Messaggio"
"More about <em>creativestyle</em>","Maggiori informazioni su <em>creativestyle</em>"
"New order status","Nuovo stato ordine"
"Next page","Pagina successiva"
"No, use data polling instead","No, usa polling di dati"
"Notification type","Tipo di notifica"
"of %s pages","di %s pagine"
"Orange (recommended)","Arancione (consigliato)"
"Order status on authorization","Stato ordine all'autorizzazione"
"Page","Pagina"
"Pay","Paga"
"Payment Action","Azione pagamento"
"Payment Region","Area pagamento"
"per page","per pagina"
"Please agree to all the terms and conditions before placing the order.","Prima di effettuare l'ordine, accetta tutti i termini e le condizioni."
"Please enter this URL in the <strong>Allowed JavaScript Origins</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Control Panel</a> in your Amazon Seller Central.","Inserisci questo URL nel campo <strong>Sorgenti JavaScript consentite</strong> del <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">pannello di controllo</a> in Amazon Seller Central."
"Please enter this URL in the <strong>Allowed Return URLs</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Control Panel</a> in your Amazon Seller Central.","Inserisci questo URL nel campo <strong>URL restituiti consentiti</strong> del <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">pannello di controllo</a> in Amazon Seller Central."
"Please enter this URL in the <strong>Merchant URL</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Integration Settings</a> in your Amazon Seller Central.","Inserisci questo URL nel campo <strong>URL venditore</strong> delle <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Impostazioni di integrazione</a> nel tuo Amazon Seller Central."
"Please fill in required data that cannot be retrieved from your Amazon account.","Inserisci la password del negozio per associarla al tuo account Amazon."
"Please note that the total amount of the order will be charged at order placement.","Inserisci i dati obbligatori che non è possibile recuperare dal tuo account Amazon."
"Please provide all required data.","Inserisci tutti i dati obbligatori."
"Pop-up","Popup"
"Preview","Anteprima"
"Query","Query"
"Quick-register Merchant account","Registrazione rapida Account venditore"
"Redirect","Reindirizza"
"Redirecting, please wait...","Attendere prego, reindirizzamento in corso..."
"Request Body","Corpo richiesta"
"Request Headers","Intestazioni richiesta"
"Response","Risposta"
"Response code","Codice risposta"
"Response headers","Intestazioni risposta"
"Sandbox Mode","Modalità Sandbox"
"Sandbox Toolbox","Strumenti Sandbox"
"Secret Access Key","Chiave d'accesso segreta"
"Select appropriate store view scope to display IPN endpoint URL","Seleziona l'appropriato ambito di visualizzazione negozio per mostrare URL endpoint IPN"
"Select whether an email confirmation for newly placed orders shall be sent by the shop","Seleziona se il negozio invierà un'e-mail di conferma per i nuovi ordini."
"Seller Central configuration","Configurazione Seller Central"
"Send order confirmation","Invia conferma ordini"
"Settings","Impostazioni"
"Show Sandbox Toolbox","Mostra strumenti Sandbox"
"Small","Piccolo"
"Spanish","Spagnolo"
"Stack trace","Stack trace"
"Store Options","Store Options"
"Store name","Store name"
"Stores","Negozi"
"Synchronous","Sincrono"
"Tan","Marrone chiaro"
"There has been a problem with the selected payment method from your Amazon account, please choose another payment method from you Amazon account or return to the cart to choose another checkout method.","Si è verificato un problema con il metodo di pagamento selezionato dal tuo account Amazon. Seleziona un altro metodo di pagamento dal tuo account Amazon o torna al carrello e scegli un modo diverso di completare l'acquisto."
"There has been a problem with the selected payment method from your Amazon account, please update the payment method or choose another one.","Si è verificato un problema con il metodo di pagamento selezionato dal tuo account Amazon. Aggiorna il metodo di pagamento o scegline uno diverso."
"There was an error processing your order. Please contact us or try again later.","Si è verificato un errore durante l'elaborazione dell'ordine. Contattaci o riprova più tardi."
"This extension integrates easily your Magento shop with Amazon Pay service.","Questa estensione integra facilmente il negozio Magento con il servizio Amazon Pay."
"This feature requires valid SSL certificate to be installed on this server. Pay attention that the SSL certificate must be issued by a trusted Certificate Authority, self-signed certificates are not permitted.","Questa funzione richiede che sul server sia installato un valido certificato SSL. Assicurati che il certificato SSL sia stato emesso da un'autorità di certificazione affidabile. Non sono ammesse autocertificazioni."
"This is not valid Seller Central configuration JSON","Questa non è una configurazione Seller Central JSON valida"
"Total %d records found","%d record totali trovati"
"United Kingdom","Regno Unito"
"United States","Stati Uniti"
"URL","URL"
"Use quick configuration option...","Usa l'opzione di configurazione rapida..."
"Use responsive widgets","Usa widget reattivi"
"Use these credentials","Usa queste credenziali"
"Use these credentials and save","Usa queste credenziali e salva"
"Use your Amazon Account","Usa il tuo account Amazon"
"Validate Amazon Payments account","Convalida conto Amazon Payments"
"View","Visualizza"
"Wallet widget height","Altezza widget portafoglio"
"Wallet widget width","Larghezza widget portafoglio"
"Whether to show a toolbox in the checkout for simulating different payment scenarios.","Scegli se mostrare uno strumento al checkout per simulare diverse situazioni di pagamento."
"Whoops! Your Access Key ID seems to be invalid.","Ops! Chiave d'accesso non valida."
"Whoops! Your Merchant ID seems to be invalid.","Ops! Numero venditore non valido."
"Whoops! Your Secret Access Key seems to be invalid.","Ops! Chiave d'accesso segreta non valida."
"With Amazon Pay, you can use the shipping and payment information stored in your Amazon account to place an order on this website. It's a convenient and trusted way to pay that's enjoyed by millions of people.","Con Amazon Pay, puoi usare le informazioni su pagamento e spedizione registrate nel tuo account Amazon per effettuare un ordine su questo sito web. È un modo pratico e affidabile di pagare, utilizzato da milioni di utenti."
"X-Large","Molto grande"
"You have aborted the login with Amazon. Please contact us or try again.","Hai interrotto l'accesso con Amazon. Contattaci o riprova."
"Your language","Lingua"
